id,title,context,question,answers,answer
573257950fdd8d15006c69ee,Financial_crisis_of_2007%E2%80%9308,"It threatened the collapse of large financial institutions, which was prevented by the bailout of banks by national governments, but stock markets still dropped worldwide. In many areas, the housing market also suffered, resulting in evictions, foreclosures and prolonged unemployment. The crisis played a significant role in the failure of key businesses, declines in consumer wealth estimated in trillions of U.S. dollars, and a downturn in economic activity leading to the 2008–2012 global recession and contributing to the European sovereign-debt crisis. The active phase of the crisis, which manifested as a liquidity crisis, can be dated from August 9, 2007, when BNP Paribas terminated withdrawals from three hedge funds citing ""a complete evaporation of liquidity"".",What year did the global recession that followed the financial crisis of 2007 end?,"{'text': ['2012'], 'answer_start': [481]}",['2012']
5706b11d0eeca41400aa0d36,House_music,"But house was also being developed on Ibiza,[citation needed] although no house artists or labels were coming from this tiny island at the time. By the mid-1980s a distinct Balearic mix of house was discernible.[citation needed] Several clubs such as Amnesia with DJ Alfredo were playing a mix of rock, pop, disco and house. These clubs, fueled by their distinctive sound and Ecstasy, began to have an influence on the British scene. By late 1987, DJs such as Trevor Fung, Paul Oakenfold and Danny Rampling were bringing the Ibiza sound to UK clubs such as the Haçienda in Manchester, and in London clubs such as Shoom in Southwark, Heaven, Future and Spectrum.",what was a popular club in ibiza that started playing dance and house music?,"{'text': ['Amnesia'], 'answer_start': [251]}",['Amnesia']
5ad17e8d645df0001a2d1e38,Mary_(mother_of_Jesus),"Although Calvin and Huldrych Zwingli honored Mary as the Mother of God in the 16th century, they did so less than Martin Luther. Thus the idea of respect and high honor for Mary was not rejected by the first Protestants; but, they came to criticize the Roman Catholics for venerating Mary. Following the Council of Trent in the 16th century, as Marian veneration became associated with Catholics, Protestant interest in Mary decreased. During the Age of the Enlightenment any residual interest in Mary within Protestant churches almost disappeared, although Anglicans and Lutherans continued to honor her.",In what century did Martin Luther honor Mary as the Mother of God?,"{'text': [], 'answer_start': []}",[]
5709667eed30961900e840a1,Himachal_Pradesh,"Due to extreme variation in elevation, great variation occurs in the climatic conditions of Himachal . The climate varies from hot and subhumid tropical in the southern tracts to, with more elevation, cold, alpine, and glacial in the northern and eastern mountain ranges. The state has areas like Dharamsala that receive very heavy rainfall, as well as those like Lahaul and Spiti that are cold and almost rainless. Broadly, Himachal experiences three seasons: summer, winter, and rainy season. Summer lasts from mid-April till the end of June and most parts become very hot (except in the alpine zone which experiences a mild summer) with the average temperature ranging from 28 to 32 °C (82 to 90 °F). Winter lasts from late November till mid March. Snowfall is common in alpine tracts (generally above 2,200 metres (7,218 ft) i.e. in the higher and trans-Himalayan region).",What is the climate like?,"{'text': ['varies from hot and subhumid tropical'], 'answer_start': [115]}",['varies from hot and subhumid tropical']
5ad378fa604f3c001a3fe3a1,Elizabeth_II,"The Queen addressed the United Nations for a second time in 2010, again in her capacity as Queen of all Commonwealth realms and Head of the Commonwealth. The UN Secretary General, Ban Ki-moon, introduced her as ""an anchor for our age"". During her visit to New York, which followed a tour of Canada, she officially opened a memorial garden for the British victims of the September 11 attacks. The Queen's visit to Australia in October 2011 – her sixteenth visit since 1954 – was called her ""farewell tour"" in the press because of her age.",How many times has the Queen toured Canada?,"{'text': [], 'answer_start': []}",[]
57294e7a6aef051400154c93,Bermuda,"The Constitution of Bermuda came into force on 1 June 1967; it was amended in 1989 and 2003. The head of government is the premier. A cabinet is nominated by the premier and appointed officially by the governor. The legislative branch consists of a bicameral parliament modelled on the Westminster system. The Senate is the upper house, consisting of 11 members appointed by the governor on the advice of the premier and the leader of the opposition. The House of Assembly, or lower house, has 36 members, elected by the eligible voting populace in secret ballot to represent geographically defined constituencies.",Has Bermuda's constitution ever been amended?,"{'text': ['it was amended in 1989 and 2003'], 'answer_start': [60]}",['it was amended in 1989 and 2003']
5acda5f107355d001abf48c0,Florida,"Florida is served by Amtrak, operating numerous lines throughout, connecting the state's largest cities to points north in the United States and Canada. The busiest Amtrak train stations in Florida in 2011 were: Sanford (259,944), Orlando (179,142), Tampa Union Station (140,785), Miami (94,556), and Jacksonville (74,733). Sanford, in Greater Orlando, is the southern terminus of the Auto Train, which originates at Lorton, Virginia, south of Washington, D.C.. Until 2005, Orlando was also the eastern terminus of the Sunset Limited, which travels across the southern United States via New Orleans, Houston, and San Antonio to its western terminus of Los Angeles. Florida is served by two additional Amtrak trains (the Silver Star and the Silver Meteor), which operate between New York City and Miami. Miami Central Station, the city's rapid transit, commuter rail, intercity rail, and bus hub, is under construction.",What train line connects florida to the south? ,"{'text': [], 'answer_start': []}",[]
56de818dcffd8e1900b4b99c,BBC_Television,"Programmes, such as the politically fuelled Give My Head Peace (produced by BBC Northern Ireland) and the soap opera River City (produced by BBC Scotland), have been created specifically to cater for some viewers in their respective nations, who may have found programmes created for English audiences irrelevant. BBC Scotland produces daily programmes for its Gaelic-speaking viewers, including current affairs, political and children's programming such as the popular Eòrpa and Dè a-nis?. BBC Wales also produces a large amount of Welsh language programming for S4C, particularly news, sport and other programmes, especially the soap opera Pobol y Cwm ('People of the Valley'). The UK nations also produce a number of programmes that are shown across the UK, such as BBC Scotland's comedy series Chewin' the Fat, and BBC Northern Ireland's talk show Patrick Kielty Almost Live.",What is the name of a show from Northern Ireland broadcast all over the United Kingdom?,"{'text': ['Patrick Kielty Almost Live'], 'answer_start': [852]}",['Patrick Kielty Almost Live']
5ad3c964604f3c001a3ff096,Alfred_North_Whitehead,"The two volume biography of Whitehead by Victor Lowe is the most definitive presentation of the life of Whitehead. However, many details of Whitehead's life remain obscure because he left no Nachlass; his family carried out his instructions that all of his papers be destroyed after his death. Additionally, Whitehead was known for his ""almost fanatical belief in the right to privacy"", and for writing very few personal letters of the kind that would help to gain insight on his life. This led to Lowe himself remarking on the first page of Whitehead's biography, ""No professional biographer in his right mind would touch him.""", Why was every Nachlass left behind after Whitehead's death?,"{'text': [], 'answer_start': []}",[]
5a7112630efcfe001a8afd20,Pesticide,"Pesticide use raises a number of environmental concerns. Over 98% of sprayed insecticides and 95% of herbicides reach a destination other than their target species, including non-target species, air, water and soil. Pesticide drift occurs when pesticides suspended in the air as particles are carried by wind to other areas, potentially contaminating them. Pesticides are one of the causes of water pollution, and some pesticides are persistent organic pollutants and contribute to soil contamination.",What concerns are raised when thinking about animals digging in the soil for food?,"{'text': [], 'answer_start': []}",[]
